,Open,High,Low,Close*,Adj. close**,Volume
18-Jun-2020,"2,045.00","2,059.20","2,025.20","2,038.10","2,038.10","19,44,389"
17-Jun-2020,"2,046.00","2,058.85","2,026.55","2,047.80","2,047.80","27,03,527"
16-Jun-2020,"2,065.00","2,073.95","2,031.00","2,045.80","2,045.80","21,46,528"
15-Jun-2020,"2,039.10","2,059.00","2,000.95","2,029.90","2,029.90","23,99,022"
12-Jun-2020,"2,011.20","2,049.20","2,011.00","2,039.50","2,039.50","28,42,642"
11-Jun-2020,"2,100.00","2,105.00","2,061.80","2,067.65","2,067.65","22,69,513"
10-Jun-2020,"2,077.05","2,132.00","2,073.50","2,108.75","2,108.75","51,68,397"
09-Jun-2020,"2,063.10","2,095.50","2,060.25","2,072.05","2,072.05","29,09,439"
08-Jun-2020,"2,078.25","2,095.00","2,062.10","2,071.75","2,071.75","29,57,841"
05-Jun-2020,"2,091.60","2,098.00","2,040.30","2,048.25","2,048.25","35,73,289"
04-Jun-2020,"2,046.75","2,100.00","2,046.75","2,091.55","2,091.55","40,48,593"
03-Jun-2020,"2,051.85","2,063.75","2,020.00","2,046.15","2,046.15","36,99,799"
02-Jun-2020,"2,060.20","2,081.00","2,040.05","2,047.15","2,041.15","24,43,886"
01-Jun-2020,"1,990.00","2,060.00","1,981.10","2,045.25","2,039.26","37,47,773"
29-May-2020,"1,982.00","2,002.65","1,962.40","1,972.35","1,966.57","72,37,735"
28-May-2020,"1,988.50","2,014.00","1,971.30","2,004.30","1,998.43","34,75,681"
27-May-2020,"1,959.00","2,010.00","1,941.25","2,005.30","1,999.42","34,82,160"
26-May-2020,"2,015.00","2,024.00","1,925.00","1,943.00","1,937.31","45,75,317"
22-May-2020,"1,977.10","2,032.00","1,961.25","2,020.35","2,014.43","36,63,418"
21-May-2020,"1,946.00","1,998.00","1,941.15","1,991.20","1,985.36","34,00,908"
20-May-2020,"1,950.00","1,962.90","1,931.70","1,953.60","1,947.87","27,78,505"
19-May-2020,"1,903.00","1,966.45","1,903.00","1,948.65","1,942.94","31,98,693"
18-May-2020,"1,907.00","1,952.95","1,872.10","1,945.60","1,939.90","37,27,694"
15-May-2020,"1,916.00","1,917.40","1,865.20","1,892.90","1,887.35","31,73,682"
14-May-2020,"1,910.00","1,923.10","1,891.10","1,902.35","1,896.77","22,63,146"
13-May-2020,"1,994.00","1,994.00","1,925.65","1,949.65","1,943.94","26,56,665"
12-May-2020,"1,933.40","1,956.50","1,910.25","1,949.50","1,943.79","32,56,595"
11-May-2020,"1,909.00","1,951.40","1,909.00","1,935.30","1,929.63","24,49,841"
08-May-2020,"1,939.10","1,939.50","1,886.25","1,893.40","1,887.85","26,86,530"
07-May-2020,"1,910.00","1,934.45","1,883.35","1,891.65","1,886.11","31,66,754"
06-May-2020,"1,939.80","1,953.70","1,893.60","1,903.60","1,898.02","35,17,431"
05-May-2020,"1,955.10","1,977.00","1,927.00","1,932.75","1,927.09","29,05,528"
04-May-2020,"1,966.00","1,966.00","1,913.65","1,930.45","1,924.79","37,29,348"
30-Apr-2020,"1,980.00","2,032.00","1,942.20","2,014.45","2,008.55","59,15,544"
29-Apr-2020,"1,874.00","1,912.55","1,850.05","1,905.65","1,900.06","42,41,510"
28-Apr-2020,"1,865.00","1,868.00","1,832.60","1,859.05","1,853.60","26,78,505"
27-Apr-2020,"1,832.30","1,875.00","1,825.00","1,836.60","1,831.22","33,74,741"
24-Apr-2020,"1,840.70","1,851.95","1,807.80","1,818.55","1,813.22","29,87,102"
23-Apr-2020,"1,780.00","1,900.00","1,760.85","1,878.25","1,872.75","59,34,366"
22-Apr-2020,"1,737.65","1,790.00","1,719.15","1,769.50","1,764.31","38,29,836"
21-Apr-2020,"1,765.00","1,794.60","1,727.70","1,737.65","1,732.56","51,22,541"
20-Apr-2020,"1,830.00","1,830.00","1,802.50","1,818.65","1,813.32","32,44,282"
17-Apr-2020,"1,800.00","1,851.95","1,753.00","1,806.20","1,800.91","98,95,823"
16-Apr-2020,"1,709.95","1,764.90","1,675.05","1,716.05","1,711.02","62,45,533"
15-Apr-2020,"1,785.00","1,812.00","1,727.80","1,735.15","1,730.06","47,61,399"
13-Apr-2020,"1,761.00","1,787.00","1,746.00","1,759.25","1,754.09","29,90,438"
09-Apr-2020,"1,750.45","1,778.80","1,731.20","1,766.15","1,760.97","53,07,397"
08-Apr-2020,"1,760.00","1,806.00","1,701.00","1,705.45","1,700.45","62,85,615"
07-Apr-2020,"1,710.00","1,785.85","1,705.00","1,775.20","1,770.00","54,27,577"
03-Apr-2020,"1,740.00","1,740.00","1,650.00","1,654.20","1,649.35","57,35,369"
01-Apr-2020,"1,825.90","1,834.75","1,702.00","1,708.75","1,703.74","49,41,878"
31-Mar-2020,"1,837.40","1,855.00","1,780.00","1,826.10","1,820.75","39,27,593"
30-Mar-2020,"1,766.00","1,905.00","1,763.55","1,778.50","1,773.29","85,13,547"
27-Mar-2020,"1,820.00","1,850.00","1,750.40","1,824.50","1,819.15","43,31,250"
26-Mar-2020,"1,831.60","1,832.05","1,722.55","1,790.95","1,785.70","45,56,067"
25-Mar-2020,"1,700.00","1,810.00","1,680.00","1,750.30","1,745.17","27,65,520"
24-Mar-2020,"1,653.05","1,770.00","1,632.85","1,703.15","1,698.16","63,50,865"
23-Mar-2020,"1,620.00","1,750.00","1,617.75","1,669.70","1,664.81","70,03,490"
20-Mar-2020,"1,630.00","1,869.00","1,627.00","1,797.45","1,792.18","85,47,498"
19-Mar-2020,"1,559.70","1,685.45","1,546.75","1,636.35","1,631.55","51,35,111"
18-Mar-2020,"1,676.80","1,713.55","1,627.75","1,654.40","1,637.59","72,58,778"
17-Mar-2020,"1,730.00","1,731.00","1,623.15","1,658.00","1,641.15","57,13,248"
16-Mar-2020,"1,755.00","1,842.25","1,675.85","1,696.40","1,679.16","78,44,271"
13-Mar-2020,"1,687.90","1,820.00","1,506.05","1,806.30","1,787.94","80,29,720"
12-Mar-2020,"1,904.00","1,908.40","1,758.35","1,769.85","1,751.86","87,28,786"
11-Mar-2020,"1,933.00","1,987.30","1,920.00","1,953.70","1,933.84","67,96,449"
09-Mar-2020,"2,075.00","2,079.90","1,935.00","1,972.35","1,952.30","49,40,975"
06-Mar-2020,"2,098.00","2,123.65","2,071.60","2,116.45","2,094.94","25,95,027"
05-Mar-2020,"2,085.70","2,147.75","2,084.05","2,125.05","2,103.45","39,37,056"
04-Mar-2020,"2,056.00","2,094.45","2,025.00","2,083.20","2,062.03","32,37,002"
03-Mar-2020,"2,020.00","2,060.00","2,012.00","2,036.20","2,015.51","27,57,585"
02-Mar-2020,"2,035.00","2,053.95","1,985.70","2,001.30","1,980.96","26,67,076"
